"codice","descrizione","prezzo","gruppo"
"7330326","Spalline imbottite - Modello: Punto di aggancio posteriore c...ttitura lombare in materiale mesh 3D con migliore imbottit...","","IMBRACATURE"
"7330327","Spalline imbottite - Modello: Punto di aggancio posteriore c...ttitura lombare in materiale mesh 3D con migliore imbottit...","","IMBRACATURE"
"7330331","Energy Pro Plus - Punto di aggancio posteri...mpicarsi sugli alberi delle grate, sugli alberi in legno, s...","","IMBRACATURE"
"7330332","Energy Pro Plus - Punto di aggancio posteri...mpicarsi sugli alberi delle grate, sugli alberi in legno, s...","","IMBRACATURE"
"7330927","Energy Pro - Accessori e parti di ricambio:...3, carico nominale max: 130 kg La già efficace versione cla...","","IMBRACATURE"
"7330928","Energy Pro - Accessori e parti di ricambio:...3, carico nominale max: 130 kg La già efficace versione cla...","","IMBRACATURE"
"7330333","Volta - Punto di aggancio posteriore con an... sugli alberi delle grate, sugli alberi in legno, sugli alb...","","IMBRACATURE"
"7330334","Volta - Punto di aggancio posteriore con an... sugli alberi delle grate, sugli alberi in legno, sugli alb...","","IMBRACATURE"
"7330980","Volta - Punto di aggancio posteriore con an...sugli alberi delle grate, sugli alberi in legno, sugli alb...","","IMBRACATURE"
"7330981","Volta - Punto di aggancio posteriore con an...sugli alberi delle grate, sugli alberi in legno, sugli alb...","","IMBRACATURE"
"7330335","Punto di - Punto di aggancio posteriore con an...ssere dotato sulla cintura di sostegno / posiziona- mento in...","","IMBRACATURE"
"7330336","Punto di - Punto di aggancio posteriore con an...ssere dotato sulla cintura di sostegno / posiziona- mento in...","","IMBRACATURE"
"7330338","Granit Light - Punto di aggancio posteriore con an...di carico nominale max: 140 kg La variante leggermente sempl...","","IMBRACATURE"
"7330217","Expert - Punto di aggancio posteriore con an...per gli operatori in ambiente industriale, con attenzione all...","","IMBRACATURE"
"7330218","Expert - Punto di aggancio posteriore con an...per gli operatori in ambiente industriale, con attenzione all...","","IMBRACATURE"
"7330970","Safety Safety Junior - Imbracature per i più\nesigenti che operano su...litamente elevata con attenzione alle taglie piccole / junior...","","IMBRACATURE"
"7330971","Safety Safety Junior - Imbracature per i più\nesigenti che operano su...litamente elevata con attenzione alle taglie piccole / junior...","","IMBRACATURE"
"7330979","Ergo Click Plus - Ergo Click Plus – l’imbracatura universale...ne razionale, condizioni di lavoro comode e confortevoli...","","IMBRACATURE"
"7330997","Ergo Click Plus - Ergo Click Plus – l’imbracatura universale...ne razionale, condizioni di lavoro comode e confortevoli...","","IMBRACATURE"
"7334201","C3 Rapid - Imbracatura anticaduta con fibbie a scatto...erse situazioni di lavoro in quota, con montaggio rapido...","","IMBRACATURE"
"7334202","C3 Rapid - Imbracatura anticaduta con fibbie a scatto...erse situazioni di lavoro in quota, con montaggio rapido...","","IMBRACATURE"
"7334203","C2 Simple - Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...","","IMBRACATURE"
"7334204","C2 Simple - Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...","","IMBRACATURE"
"7334205","C2 Simple - Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...","","IMBRACATURE"
"7334206","C2 Simple - Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...","","IMBRACATURE"
"7330328","ACCESSORI PER IMBRACATURE - Accessori e parti di ricambio:\n—   Ansa per c...pporto su imbracature Energy Pro / Volta / Granit / Expert...","","ACCESSORI PER IMBRACATURE"
"7330329","ACCESSORI PER IMBRACATURE - Accessori e parti di ricambio:\n—   Ansa per c...pporto su imbracature Energy Pro / Volta / Granit / Expert...","","ACCESSORI PER IMBRACATURE"
"7330330","ACCESSORI PER IMBRACATURE - Accessori e parti di ricambio:\n—   Ansa per c...pporto su imbracature Energy Pro / Volta / Granit / Expert...","","ACCESSORI PER IMBRACATURE"
"7330337","ACCESSORI PER IMBRACATURE - Accessori e parti di ricambio:\n—   Ansa per c...pporto su imbracature Energy Pro / Volta / Granit / Expert...","","ACCESSORI PER IMBRACATURE"
