codice_articolo;nome_breve;categoria_macro;descrizione_breve
7330326;Spalline imbottite;IMBRACATURE;Modello: Punto di aggancio posteriore c...ttitura lombare in materiale mesh 3D con migliore imbottit...
7330327;Spalline imbottite;IMBRACATURE;Modello: Punto di aggancio posteriore c...ttitura lombare in materiale mesh 3D con migliore imbottit...
7330331;Energy Pro Plus;IMBRACATURE;Punto di aggancio posteri...mpicarsi sugli alberi delle grate, sugli alberi in legno, s...
7330332;Energy Pro Plus;IMBRACATURE;Punto di aggancio posteri...mpicarsi sugli alberi delle grate, sugli alberi in legno, s...
7330927;Energy Pro;IMBRACATURE;Accessori e parti di ricambio:...3, carico nominale max: 130 kg La già efficace versione cla...
7330928;Energy Pro;IMBRACATURE;Accessori e parti di ricambio:...3, carico nominale max: 130 kg La già efficace versione cla...
7330333;Volta;IMBRACATURE;Punto di aggancio posteriore con an... sugli alberi delle grate, sugli alberi in legno, sugli alb...
7330334;Volta;IMBRACATURE;Punto di aggancio posteriore con an... sugli alberi delle grate, sugli alberi in legno, sugli alb...
7330980;Volta;IMBRACATURE;Punto di aggancio posteriore con an...sugli alberi delle grate, sugli alberi in legno, sugli alb...
7330981;Volta;IMBRACATURE;Punto di aggancio posteriore con an...sugli alberi delle grate, sugli alberi in legno, sugli alb...
7330335;Punto di;IMBRACATURE;Punto di aggancio posteriore con an...ssere dotato sulla cintura di sostegno / posiziona- mento in...
7330336;Punto di;IMBRACATURE;Punto di aggancio posteriore con an...ssere dotato sulla cintura di sostegno / posiziona- mento in...
7330338;Granit Light;IMBRACATURE;Punto di aggancio posteriore con an...di carico nominale max: 140 kg La variante leggermente sempl...
7330217;Expert;IMBRACATURE;Punto di aggancio posteriore con an...per gli operatori in ambiente industriale, con attenzione all...
7330218;Expert;IMBRACATURE;Punto di aggancio posteriore con an...per gli operatori in ambiente industriale, con attenzione all...
7330970;Safety Safety Junior;IMBRACATURE;Imbracature per i più\nesigenti che operano su...litamente elevata con attenzione alle taglie piccole / junior...
7330971;Safety Safety Junior;IMBRACATURE;Imbracature per i più\nesigenti che operano su...litamente elevata con attenzione alle taglie piccole / junior...
7330979;Ergo Click Plus;IMBRACATURE;Ergo Click Plus – l’imbracatura universale...ne razionale, condizioni di lavoro comode e confortevoli...
7330997;Ergo Click Plus;IMBRACATURE;Ergo Click Plus – l’imbracatura universale...ne razionale, condizioni di lavoro comode e confortevoli...
7334201;C3 Rapid;IMBRACATURE;Imbracatura anticaduta con fibbie a scatto...erse situazioni di lavoro in quota, con montaggio rapido...
7334202;C3 Rapid;IMBRACATURE;Imbracatura anticaduta con fibbie a scatto...erse situazioni di lavoro in quota, con montaggio rapido...
7334203;C2 Simple;IMBRACATURE;Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...
7334204;C2 Simple;IMBRACATURE;Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...
7334205;C2 Simple;IMBRACATURE;Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...
7334206;C2 Simple;IMBRACATURE;Imbracatura anticaduta di base... adatta per utilizzi meno frequenti, dove serve solo il punt...
