"100501","KM III","FUNI","Corda statica ad alta resistenza per lavori in quota e soccorsi.","famiglia_dpi","linea_modello"
"100502","KM III Light","FUNI","Versione alleggerita della KM III con maggiore maneggevolezza.","",""
"100503","KM III Max","FUNI","Corda ultra performante per accesso su fune in ambienti difficili.","",""
"100504","KM Pro","FUNI","Corda professionale per ambienti industriali con eccellente stabilità.","",""
"100505","KM 12","FUNI","Corda statica Ø12 mm ideale per lavori industriali gravosi.","",""
"100506","KM 14","FUNI","Corda statica Ø14 mm per applicazioni ad alto carico e sicurezza estesa.","",""
"100507","KM Dyneema","FUNI","Corda ad altissimo modulo con peso ridotto e grande resistenza.","",""
"100508","KM Rescue","FUNI","Corda dedicata alle operazioni di soccorso e recupero.","",""
"100509","Gym Rope","FUNI","Corda da addestramento per prove e test su dispositivi.","",""
"100510","Safety Pro","FUNI","Corda statica professionale con lunga durata nel tempo.","",""
"100511","Safety Blue","FUNI","Corda riconoscibile per applicazioni di sicurezza visiva.","",""
"100512","Safety Green","FUNI","Corda certificata per lavori ambientali e forestali.","",""
"100513","Static Rope","FUNI","Corda statica general purpose per accesso e posizionamento.","",""
