"codice_articolo","nome_breve","categoria_macro","descrizione_breve","norme_en","famiglia_dpi","linea_modello"
"100800","GRILLON","SISTEMI DI POSIZIONAMENTO","Dispositivo di posizionamento regolabile per lavori in quota.","EN 358","posizionatore_regolabile","GRILLON"
"100801","GRILLON HOOK","SISTEMI DI POSIZIONAMENTO","Versione con gancio per regolazione rapida.","EN 358","posizionatore_regolabile","GRILLON HOOK"
"100802","GRILLON MGO","SISTEMI DI POSIZIONAMENTO","Dotato di connettore MGO per strutture metalliche.","EN 358","posizionatore_regolabile","GRILLON MGO"
"100803","GRILLON PLUS","SISTEMI DI POSIZIONAMENTO","Dispositivo rinforzato per uso intensivo.","EN 358","posizionatore_regolabile","GRILLON PLUS"
"100804","GRILLON LIFE LINE","SISTEMI DI POSIZIONAMENTO","Linea di vita provvisoria regolabile.","EN 795","posizionatore_regolabile","GRILLON LIFE LINE"
"100805","JANE I","SISTEMI DI POSIZIONAMENTO","Longe semplice non regolabile per posizionamento.","EN 354","cordino_posizionamento","JANE I"
"100806","JANE Y","SISTEMI DI POSIZIONAMENTO","Longe doppia usata per posizionamento.","EN 354","cordino_posizionamento","JANE Y"
"100807","PROGRESS ADJUST-I","SISTEMI DI POSIZIONAMENTO","Cordino regolabile per posizionamento preciso.","EN 358","cordino_regolabile_posizionamento","PROGRESS ADJUST-I"
"100808","PROGRESS ADJUST-Y","SISTEMI DI POSIZIONAMENTO","Cordino regolabile doppio per posizionamento.","EN 358","cordino_regolabile_posizionamento","PROGRESS ADJUST-Y"
"100809","WORK POSITIONING ROPE 11MM","SISTEMI DI POSIZIONAMENTO","Corda di posizionamento con regolazione.","EN 358","corda_posizionamento","WORK POSITIONING ROPE 11MM"
"100810","ADJUST ROPE 11MM","SISTEMI DI POSIZIONAMENTO","Cordino regolabile compatibile con dispositivi Petzl.","EN 358","corda_posizionamento","ADJUST ROPE 11MM"
"100811","LANYARD 12MM","SISTEMI DI POSIZIONAMENTO","Cordino di posizionamento resistente.","EN 358","cordino_posizionamento","LANYARD 12MM"
