codice,descrizione,prezzo,gruppo,scadenza
7330326,"TripleA Gr. 1 - Imbracatura anticaduta/di posizionamento e di sospensione con struttura a V e punti di aggancio multipli.","",imbracatura anticaduta,2030-12-31
7330327,"TripleA Gr. 2 - Imbracatura anticaduta/di posizionamento e di sospensione con struttura a V per utenti di corporatura maggiore.","",imbracatura anticaduta,2030-12-31
7330331,"Energy Pro Evo Gr. 1 - Imbracatura per i più esigenti che operano sugli alberi, con imbottiture 3D mesh e molteplici punti di aggancio.","",imbracatura anticaduta,2030-12-31
7330332,"Energy Pro Evo Gr. 2 - Imbracatura per lavori su alberi con comfort elevato, anse portamateriali e punti di aggancio multipli.","",imbracatura anticaduta,2030-12-31
7330927,"Energy Pro Plus Gr. 1 - Imbracatura per lavori sugli alberi con fibbia safe-click su petto e gambe, imbottiture 3D e anse portamateriali.","",imbracatura anticaduta,2030-12-31
7330928,"Energy Pro Plus Gr. 2 - Versione di taglia maggiore di Energy Pro Plus con stessi punti di aggancio e caratteristiche di comfort.","",imbracatura anticaduta,2030-12-31
7330333,"Energy Pro Gr. 1 - Imbracatura anticaduta/di posizionamento e sospensione per lavori su alberi, con punti di aggancio sternale, dorsale e laterali.","",imbracatura anticaduta,2030-12-31
7330334,"Energy Pro Gr. 2 - Imbracatura Energy Pro per corporature più grandi, con stessa configurazione di punti di aggancio.","",imbracatura anticaduta,2030-12-31
7330980,"Volta Gr. 1 - Imbracatura anticaduta/di posizionamento e sospensione leggera per lavori su alberi, con cintura imbottita.","",imbracatura anticaduta,2030-12-31
7330981,"Volta Gr. 2 - Imbracatura Volta di taglia maggiore, con anse portamateriali e punti di aggancio dorsale e sternale.","",imbracatura anticaduta,2030-12-31
7330335,"Granit Pro Gr. 1 - Cintura per sedile per lavori su rocce con pantaloni integrati e molteplici punti di aggancio.","",cintura per sedile,2030-12-31
7330336,"Granit Pro Gr. 2 - Versione taglia maggiore della cintura per sedile Granit Pro per lavori su rocce.","",cintura per sedile,2030-12-31
7330338,"Granit Light universal - Cintura per sedile per lavori su rocce con pantaloni integrati, leggera e collaudata.","",cintura per sedile,2030-12-31
7330217,"ProWork ITS Gr. 1 - Imbracatura anticaduta e di ritenuta con laccio antishock integrato ITS per installazioni.","",imbracatura anticaduta,2030-12-31
7330218,"ProWork ITS Gr. 2 - Versione taglia maggiore di ProWork ITS con le stesse funzioni di laccio antishock integrato.","",imbracatura anticaduta,2030-12-31
7330970,"Expert Gr. 1 - Imbracatura anticaduta/di posizionamento e sospensione leggera per impianti di telefonia, gru e soccorso.","",imbracatura anticaduta,2030-12-31
7330971,"Expert Gr. 2 - Imbracatura Expert di taglia maggiore con imbottiture 3D e anse portamateriali.","",imbracatura anticaduta,2030-12-31
7330979,"Safety - Cintura anticaduta, di posizionamento e sospensione per parchi avventura e percorsi a fune.","",imbracatura anticaduta,2030-12-31
7330997,"Safety Junior - Versione per bambini/ragazzi della cintura Safety, per sicurezza nei parchi avventura.","",imbracatura anticaduta,2030-12-31
V7330038,"Ergo Click Plus - Imbracatura anticaduta, di ritenuta e per installazioni con fibbia Ergo-Click su cintura e cosciali.","",imbracatura anticaduta,2030-12-31
V7330037V,"Ergo Click - Imbracatura anticaduta con fibbie a scatto Ergo Click per uso universale su piattaforme aeree e tetti.","",imbracatura anticaduta,2030-12-31
V7330029,"Ergo - Imbracatura anticaduta universale di ingresso gamma senza fibbie Ergo-Click, leggera e versatile.","",imbracatura anticaduta,2030-12-31
7334201,"C3 Rapid TB - Imbracatura anticaduta semplice con punto dorsale e sternale per lavori a breve termine.","",imbracatura anticaduta,2030-12-31
7334200,"C2 Simple - Imbracatura anticaduta di base con solo punto dorsale, per lavori brevi.","",imbracatura anticaduta,2030-12-31
7333781,"V1 Neon - Cinghia di trattenuta regolabile per sistemi di ritenuta in ambito industriale e antincendio.","",cinghia di trattenuta,2030-12-31
7330959,"Triangolo di soccorso per la montagna - Triangolo di soccorso regolabile per recupero persone fino a 150 kg.","",dispositivo di salvataggio,2030-12-31
7334205,"RescLoop - Ansa di salvataggio per autosoccorso o evacuazione di emergenza, usata come sedile di salvataggio.","",dispositivo di salvataggio,2030-12-31
7330308,"Cintura per radio digitale - Cintura regolabile per il trasporto sicuro di dispositivi radio con tasca in velcro.","",accessorio trasporto,2030-12-31
7331879,"Sedile PODIUM - Sedile di posizionamento con ampia superficie e lati rigidi per lavori in sospensione.","",sedile di posizionamento,2030-12-31
7331483,"Imbottitura per schiena a V - Imbottitura a V in mesh 3D per aumentare il comfort delle cinture anticaduta.","",accessorio imbottitura,2030-12-31
7331481,"Imbottitura universale (2 pezzi) - Imbottitura rettangolare universale per gambe, petto o altre zone della cintura.","",accessorio imbottitura,2030-12-31
7330238,"Imbottitura per la schiena ITS - Imbottitura per spalle ITS con possibilità di integrare il laccio antishock nelle cinture.","",accessorio imbottitura,2030-12-31
7330348,"Reggetta VBM K 0,5 m EH21/anello - Reggetta di prolunga con anello in alluminio ed EH-21 per collegamento a sistemi anticaduta.","",elemento di collegamento,2030-12-31
7330329,"Ansa per cordoncino (2 pezzi) - Ansa in plastica con fissaggio in velcro per sostenere cordini e reggette antishock sulle bretelle.","",accessorio per cordini,2030-12-31
7330902,"Borsa portattrezzi SAFE - Borsa portattrezzi robusta con fondo rinforzato e tasche interne per lavori in quota.","",borsa portattrezzi,2030-12-31
7331459,"Borsa portattrezzi GT-SK2 - Borsa portattrezzi rinforzata con moschettone a vite, tasche interne ed esterne.","",borsa portattrezzi,2030-12-31
7333812,"Benna per carichi pesanti - Benna sollevabile per trasporto di utensili e materiali fino a 200 kg, resistente alle intemperie.","",contenitore di sollevamento,2030-12-31
7331565,"Benna pieghevole ad uso professionale - Benna pieghevole con fondo trasparente per trasporto materiale e attrezzi a grandi altezze.","",contenitore di trasporto,2030-12-31
