codice,descrizione,prezzo,gruppo
TPI-FOREST-P07-PERFECTION-F30,"Fune forestale in acciaio SUPERFILL ad alta resistenza per uso forestale, con elevata forza di rottura e ridotto allungamento.",,ALTRO
TPI-FOREST-P08-QS-610-V,"Fune speciale in acciaio SUPERFILL con anima plastificata PLASTFILL, elevata resistenza alla rottura e flessibilita per avvolgimento multistrato.",,ALTRO
TPI-FOREST-P09-EVOLUTION-QS-816-V,"Fune di sospensione in acciaio per carrozze Woodliner, molto flessibile con elevata stabilita alla pressione laterale.",,ALTRO
TPI-FOREST-P10-F20-625,"Fune forestale in acciaio compatta, bassa torsione, flessibile e robusta per trazione, recupero e controvento.",,ALTRO
TPI-FOREST-P11-F10-619,"Fune in acciaio compatta, bassa torsione e resistente all abrasione per trazione, recupero e controvento.",,ALTRO
TPI-FOREST-P13-STRATOS-ANCHOR,Tirante tessile in fibra UHMWPE con calza resistente ai raggi UV per ancoraggio di gru a cavo e linee aeree.,,ACCESSORI
TPI-FOREST-P13-STRATOS-EXTENSION,Prolunga tessile per cavi di sospensione con anima ad alta robustezza per avvolgimento diretto attorno all albero.,,ACCESSORI
TPI-FOREST-P14-STRATOS-MOUNTING-LIGHT-NG,"Fune ausiliaria e di montaggio in UHMWPE altamente compresso, estremamente leggera e resistente all abrasione.",,ACCESSORI
TPI-FOREST-P14-STRATOS-SUPPORT,Sistema tessile per messa in sicurezza di alberi di supporto con corda leggera e anelli di montaggio.,,ACCESSORI
TPI-FOREST-P15-STRATOS-WINCH-PRO,Fune kernmantle in UHMWPE con guaina protettiva per verricelli forestali professionali.,,ALTRO
TPI-FOREST-P16-STRATOS-WINCH-LIGHT-H,Fune in UHMWPE a 12 capi altamente compressa per verricelli forestali con massima resistenza e durata.,,ALTRO
TPI-FOREST-P16-STRATOS-WINCH-LIGHT-S,"Fune in UHMWPE a 12 capi non compatta per verricelli, soluzione economica per utenti hobby.",,ALTRO
TPI-FOREST-P18-STRATOS-VGE-WINCH-PRO,Terminale di invasatura per STRATOS Winch Pro che protegge la guaina e consente collegamento diretto.,,ACCESSORI
TPI-FOREST-P18-STRATOS-SEILPUCK,Disco di scorrimento leggero con ampio raggio di deflessione per ridurre l usura della fune del verricello.,,ACCESSORI
TPI-FOREST-P18-STRATOS-SET-GIUNZIONI,"Kit per giunzione funi STRATOS Winch Light con aghi, forbici, accessori e istruzioni.",,ACCESSORI
TPI-FOREST-P18-STRATOS-SET-INVASATURA,Set bicomponente con resina epossidica e indurente per invasatura terminali funi STRATOS.,,ACCESSORI
TPI-FOREST-P19-STRATOS-CORDA-GIROCOLLO,Corda girocollo in STRATOS Winch Pro con cuciture ad alta resistenza e speciale nippel di collegamento.,,ACCESSORI
TPI-FOREST-P19-CORDE-GIROCOLLO-ACCIAIO,Corde girocollo con funi d acciaio standard per movimentazione a terra.,,ACCESSORI
TPI-FOREST-P20-STRATOS-EASYGLIDE,"Aliante per funi in fibra con corpo in plastica e anello Dyneema, riduce la spinta sulla fune del verricello.",,ACCESSORI
TPI-FOREST-P20-GO-10,"Scivolante per funi in fibra e acciaio, adatto a funi verricello fino a 17 mm.",,ACCESSORI
TPI-FOREST-P20-GBGV,Collegamento a catena per uso con terminale VGE Winch Pro che mantiene la fune del verricello diritta.,,ACCESSORI
TPI-FOREST-P20-GOS,Occhiello scorrevole per corde choker per guidare e distribuire il carico lungo la fune.,,ACCESSORI
TPI-FOREST-P21-STRATOS-ENDTEIL-LT,Parte terminale STRATOS LT per funi verricello STRATOS con attacco per nippel.,,ACCESSORI
TPI-FOREST-P21-GANCIO-SCORREVOLE-WLL,Gancio scorrevole per funi con WLL e sicurezza 5:1 per movimentazione carichi.,,ACCESSORI
TPI-FOREST-P21-SERRATURE-A-CUNEO,Serrature a cuneo con bullone per terminali regolabili su funi metalliche.,,ACCESSORI
TPI-FOREST-P21-CLIP-FUNI-METALLICHE,Clip per funi metalliche secondo EN 13411-5 per cappi e redance su funi di acciaio.,,ACCESSORI
TPI-FOREST-P21-GRILLO-ALTA-RESISTENZA,Grillo curvo in acciaio ad alta resistenza con perno a vite e WLL con sicurezza 5:1.,,ACCESSORI
TPI-FOREST-P22-A120-A180,Pulegge di rinvio forestali in lega di alluminio con rulli in poliammide su cuscinetti a rulli.,,ACCESSORI
TPI-FOREST-P22-RS-TEM,Fascia tonda in poliestere secondo EN 1492-2 con giacca singola e codifica a colori.,,ALTRO
TPI-FOREST-P23-CINGHIE-SOLLEVAMENTO,Cinghie di sollevamento a 2 strati in poliestere con passanti rinforzati.,,ALTRO
TPI-FOREST-P23-CINGHIA-ANCORAGGIO-50MM,Cinghia di ancoraggio con banda da 50 mm e cricchetto secondo EN 12195-2.,,ALTRO
TPI-FOREST-P23-CINGHIA-ANCORAGGIO-75MM,"Cinghia di ancoraggio per carichi pesanti, banda da 75 mm con cricchetto secondo EN 12195-2.",,ALTRO
TPI-FOREST-P24-ERGO-CLICK-PLUS,"Imbracatura di sicurezza con cintura per montaggio, fettucce da 45 mm, imbottiture e fibbie in alluminio.",,IMBRACATURE
TPI-FOREST-P24-FALLSORB-Y-BUNGY,Cordino doppio elastico con assorbitore di energia certificato EN 355 per utilizzi da 50 a 140 kg.,,CORDINI
TPI-FOREST-P25-ROCKY,"Cordino di posizionamento regolabile con corda kernmantle e tubo di protezione, certificato EN 358.",,CORDINI
TPI-FOREST-P25-OVAL-TL,"Moschettone ovale in acciaio zincato con chiusura Trilock Catch-Free, certificato EN 362.",,ACCESSORI
